value,total_count
Biological sample 3,2
moss cover,2
pillbug,2
mossy boulder,2
mossy soil,2
biological sample_204,2
biological sample_203,2
biological sample_202,2
12C14N-Urea+As-3,2
mound,2
biological sample_201,2
biological sample_200,2
Biological sample 2,2
biological sample_199,2
biological sample_198,2
biological sample_197,2
biological sample_196,2
Mountain areas and dam areas,2
biological sample_195,2
biological sample_194,2
Mountain Cave - Mine Gallery,2
biological sample_193,2
biological sample_192,2
biological sample_191,2
biological sample_190,2
Mountain Forest,2
mountain forest floor [ENVO_00005769],2
biological sample_189,2
biological sample_188,2
biological sample_187,2
biological sample_186,2
biological sample_185,2
biological sample_184,2
mountain land,2
biological sample_183,2
biological sample_182,2
biological sample_181,2
"mountainous biome|heights fluctuate between 3,250 and 2,250 meters|humid subtropical climate biome|average annual temperature of 12 C|average annual rainfall of 1,358 cubic mm",2
biological sample_180,2
mountainous region,2
biological sample_179,2
biological sample_178,2
00002179,2
biological sample_177,2
biological sample_176,2
biological sample_175,2
biological sample_174,2
biological sample_173,2
biological sample_172,2
biological sample_171,2
Mountain slopes,2
biological sample_170,2
Mountain Soil,2
Mountain Springs,2
Mountain stream,2
biological sample_169,2
Mountain terrain,2
biological sample_168,2
biological sample_167,2
Mount Lemmon,2
biological sample_166,2
biological sample_165,2
biological sample_164,2
biological sample_163,2
biological sample_162,2
biological sample_161,2
biological sample_160,2
biological sample_159,2
biological sample_158,2
biological sample_157,2
biological sample_156,2
biological sample_155,2
Pilot_RAS_ozonated_Year1,2
biological sample_154,2
biological sample_153,2
Mouse cecal content,2
biological sample_152,2
biological sample_151,2
biological sample_150,2
biological sample_149,2
biological sample_148,2
biological sample_147,2
biological sample_146,2
biological sample_145,2
biological sample_144,2
biological sample_143,2
Mouse dung pellet,2
Mouse fecal DNA,2
mouse fecal pellet 01,2
mouse fecal pellet 02,2
mouse fecal pellet 03,2
mouse fecal pellet 04,2
mouse fecal pellet 05,2
mouse fecal pellet 06,2
mouse fecal pellet 07,2
mouse fecal pellet 08,2
mouse fecal pellet 09,2
mouse fecal pellet 10,2
mouse fecal pellet 11,2
mouse fecal pellet 12,2
mouse fecal pellet 13,2
mouse fecal pellet 14,2
mouse fecal pellet 15,2
mouse fecal pellet 16,2
mouse fecal pellet 17,2
mouse fecal pellet 18,2
mouse fecal pellet 19,2
mouse fecal pellet 20,2
mouse fecal pellet 21,2
mouse fecal pellet 22,2
mouse fecal pellet 23,2
mouse fecal pellet 24,2
mouse fecal pellet 25,2
mouse fecal pellet 26,2
mouse fecal pellet 27,2
mouse fecal pellet 28,2
mouse fecal pellet 29,2
mouse fecal pellet 30,2
mouse fecal pellet 31,2
mouse fecal pellet 32,2
mouse fecal pellet 33,2
mouse fecal pellet 34,2
mouse fecal pellet 35,2
mouse fecal pellet 36,2
mouse fecal pellet 37,2
mouse fecal pellet 38,2
mouse fecal pellet 39,2
mouse fecal pellet 40,2
mouse fecal pellet 41,2
mouse fecal pellet 42,2
mouse fecal pellet 43,2
mouse fecal pellet 44,2
mouse fecal pellet 45,2
mouse fecal pellet 46,2
mouse fecal pellet 47,2
mouse fecal pellet 48,2
mouse fecal pellet 49,2
mouse fecal pellet 50,2
mouse fecal pellet 51,2
mouse-gut associated,2
Biological sample 1,2
mouse intestine.33,2
mouse intestine.34,2
mouse intestine.35,2
mouse intestine.36,2
mouse intestine.37,2
mouse intestine.38,2
mouse intestine.39,2
mouse intestine.40,2
mouse intestine.41,2
mouse intestine.42,2
mouse intestine.43,2
mouse intestine.44,2
biological enity [CARO: 0030000],2
biological,2
mouse lung 51,2
mouse lung 52,2
mouse lung 53,2
mouse lung 54,2
mouse lung 55,2
mouse lung 56,2
mouse lung 57,2
mouse lung 58,2
mouse lung 59,2
mouse lung 60,2
mouse lung 61,2
mouse lung 62,2
mouse lung 63,2
mouse lung 64,2
biogeochemical process [ENVO:02500030],2
biogas reactor content,2
Biogas-plant,2
biogas fermentation tank,2
Biogas digester,2
biogas digestate,2
biofloc system rearing Pacific whiteleg shrimp with a salinity of 5 ppt with substrate at 7 d,2
biofloc system rearing Pacific whiteleg shrimp with a salinity of 5 ppt with substrate at 28 d,2
biofloc system rearing Pacific whiteleg shrimp with a salinity of 5 ppt with substrate at 21 d,2
biofloc system rearing Pacific whiteleg shrimp with a salinity of 5 ppt with substrate at 14 d,2
biofloc system rearing Pacific whiteleg shrimp with a salinity of 5 ppt without substrate at 7 d,2
biofloc system rearing Pacific whiteleg shrimp with a salinity of 5 ppt without substrate at 28 d,2
biofloc system rearing Pacific whiteleg shrimp with a salinity of 5 ppt without substrate at 21 d,2
biofloc system rearing Pacific whiteleg shrimp with a salinity of 5 ppt without substrate at 14 d,2
Biofilter media,2
biofilter matrix,2
biofilter bif,2
biofilm reactor MB3BCh2 replicate3,2
biofilm reactor MB3BCh2 replicate2,2
biofilm reactor MB3BCh1 replicate,2
biofilm reactor MB3BCh1,2
biofilm reactor MB3ACh2 replicate,2
biofilm reactor MB3ACh2,2
biofilm reactor MB3ACh1 replicate,2
biofilm reactor MB3ACh1,2
Biofilm on stone,2
biofilm on Hells Bells in the redoxcline of cenote El Zapote,2
mouth_to_clittelum,2
Biofilm on glass-fiber separator (C5),2
biofilm on anode,2
biofilm of cathode,2
biofilm|mineral precipitate,2
Moving bed bioreactor,2
Mown pasture_cattle_chorse_fertilised,2
biofilm material ENVO:01000156,2
Mown pasture_cattle/horse_fertilised,2
Mown pasture_horse_fertilised,2
Biofilm (ENVO:00002034),2
biofilm6,2
biofilm5,2
M population,2
biofilm4,2
biofilm3,2
Biofilm2,2
biofilm2,2
Biofilm1,2
biofilm1,2
bio-dried substrates,2
Mt.Bohyun,2
bioaugmentated activated sludge 25 days,2
Biltong,2
BILATERAL WHITE RETICULAR PATCH SEEN ON BUCCAL MUCOSA,2
Bija forest wood biome,2
big rock at water’s edge,2
Bidens pilosa,2
BHT9,2
BHT7,2
BHT5,2
BHT3,2
BHT11,2
BHT1,2
BHI,2
Bh,2
mucosal swab,2
BG-11 enrichment media,2
Bg,2
between branches,2
12C14N-Urea+As-2,2
12C14N-Urea+As-1,2
129,2
128,2
127,2
pineapple field,2
126,2
125,2
124,2
pine branch or stem,2
Pine bud tip,2
123,2
122,2
Pine forest soil,2
Pine Mature Tree,2
121,2
"120m distance from glacier, replicate B",2
"120m distance from glacier, replicate A",2
120,2
Pine rhizosphere,2
119,2
Pinus biome,2
Beta vulgaris var. altissima,2
Beta-lactam_preparation_room,2
beside new fumerole,2
Bermuda subtropical conifer forests,2
Berberine wastewater,2
Benthic zone,2
benthic on Phragmites south of canal,2
"Benthic, epizooic",2
"Benthic, epilithic",2
Pinus densiflora + Larix leptolepis forest,2
benchland,2
Below oil zone,2
Bell Pepper[NCIT:C71993],2
Begonia sp.,2
"Mud, a creek bank",2
Muddy clay (very soft).,2
Muddy clay (very soft-soft).,2
muddy water(ENVO:00005793),2
before radiotherapy,2
Beef wors,2
Beef biltong,2
Mudstone,2
Mud (very soft).,2
mud volcano ENVO:00000402,2
"mud, water",2
Bee bread,2
"Mueller Ranges, WA",2
Bedside table,2
bedrock_3,2
bedrock_2,2
bedrock_1,2
Pinus greggii tree,2
Bedford influent,2
bedding_shavings,2
bedding_powder,2
Beaver Feces,2
Beaucarnea sp.,2
multiple,2
beach sea water,2
beach sand(ENVO:00002138),2
Bd1,2
BCA-treated,2
Bc,2
multi year ice,2
Bb,2
Bay sediment,2
Bay [ENVO:00000032] | Freshwater algal bloom [ENVO:2000005],2
Bauxite residues,2
Municipal solid waste,2
Municipal solid waste dumpsite,2
municipal solid waster digester,2
"Municipal territory located at an altitude of 1,880 meters above sea level, on the floor of the Valley of Valparaiso.",2
Bathymodiolus-dominated oceanic mussel reef [ENVO:01001396],2
municipal wastewater and algae,2
Bathroom Door Knob,2
Bathroom,2
municiple digester,2
bat fur,2
Plant-associated biome|Compost-associated biome,2
"Murchison, WA",2
Batch reactor,2
batch anaerobic digester,2
Murine fecal microbiome,2
basolateral infection,2
basalt sample,2
Basalt escarpments,2
Basal media,2
Barley leaf tissue,2
barley grains,2
Barley Field at Harvest,2
bark [PO:0004518],2
"Bare sand, slightly alkaline",2
bare rock,2
museum surface,2
"Barellan, NSW",2
Pinus maximinoi Tree Plantation,2
Bantang hot spring biome,2
mushroom farm,2
Bangkok,2
banana plantation biome,2
mus musculus 1,2
mus musculus 10,2
mus musculus 100,2
mus musculus 101,2
mus musculus 102,2
mus musculus 103,2
mus musculus 104,2
mus musculus 105,2
mus musculus 106,2
mus musculus 107,2
mus musculus 108,2
mus musculus 109,2
mus musculus 11,2
mus musculus 110,2
mus musculus 111,2
mus musculus 112,2
mus musculus 113,2
mus musculus 114,2
mus musculus 115,2
mus musculus 116,2
mus musculus 117,2
mus musculus 118,2
mus musculus 119,2
mus musculus 12,2
mus musculus 120,2
mus musculus 121,2
mus musculus 122,2
mus musculus 123,2
mus musculus 124,2
mus musculus 125,2
mus musculus 126,2
mus musculus 127,2
mus musculus 128,2
mus musculus 129,2
mus musculus 13,2
mus musculus 130,2
mus musculus 131,2
mus musculus 132,2
mus musculus 133,2
mus musculus 134,2
mus musculus 135,2
mus musculus 136,2
mus musculus 137,2
mus musculus 138,2
mus musculus 139,2
mus musculus 14,2
mus musculus 140,2
mus musculus 141,2
mus musculus 142,2
mus musculus 143,2
mus musculus 144,2
mus musculus 145,2
mus musculus 146,2
mus musculus 147,2
mus musculus 148,2
mus musculus 149,2
mus musculus 15,2
mus musculus 150,2
mus musculus 151,2
mus musculus 152,2
mus musculus 16,2
mus musculus 17,2
mus musculus 18,2
mus musculus 19,2
mus musculus 2,2
mus musculus 20,2
mus musculus 21,2
mus musculus 22,2
mus musculus 23,2
mus musculus 24,2
mus musculus 25,2
mus musculus 26,2
mus musculus 27,2
mus musculus 28,2
mus musculus 29,2
mus musculus 3,2
mus musculus 30,2
mus musculus 31,2
mus musculus 32,2
mus musculus 33,2
mus musculus 34,2
mus musculus 35,2
mus musculus 36,2
mus musculus 37,2
mus musculus 38,2
mus musculus 39,2
mus musculus 4,2
mus musculus 40,2
mus musculus 41,2
mus musculus 42,2
mus musculus 43,2
mus musculus 44,2
mus musculus 45,2
mus musculus 46,2
mus musculus 47,2
mus musculus 48,2
mus musculus 49,2
mus musculus 5,2
mus musculus 50,2
mus musculus 51,2
mus musculus 52,2
mus musculus 53,2
mus musculus 54,2
mus musculus 55,2
mus musculus 56,2
mus musculus 57,2
mus musculus 58,2
mus musculus 59,2
mus musculus 6,2
mus musculus 60,2
mus musculus 61,2
mus musculus 62,2
mus musculus 63,2
mus musculus 64,2
mus musculus 65,2
mus musculus 66,2
mus musculus 67,2
mus musculus 68,2
mus musculus 69,2
mus musculus 7,2
mus musculus 70,2
mus musculus 71,2
mus musculus 72,2
mus musculus 73,2
mus musculus 74,2
mus musculus 75,2
mus musculus 76,2
mus musculus 77,2
mus musculus 78,2
mus musculus 79,2
mus musculus 8,2
mus musculus 80,2
mus musculus 81,2
mus musculus 82,2
mus musculus 83,2
mus musculus 84,2
mus musculus 85,2
mus musculus 86,2
mus musculus 87,2
mus musculus 88,2
mus musculus 89,2
mus musculus 9,2
mus musculus 90,2
mus musculus 91,2
mus musculus 92,2
mus musculus 93,2
mus musculus 94,2
mus musculus 95,2
mus musculus 96,2
mus musculus 97,2
mus musculus 98,2
mus musculus 99,2
banana orchard with servious wilt disease,2
Banana herb,2
Banana farm,2
Banana bark,2
Baltic Sea bay,2
Ballast and harbor,2
balf,2
mussel gill tissue material [ENVO:01001403],2
mussles,2
Mustela_eversmanii,2
Mustela_nivalis,2
bakers yeast,2
Baker,2
Bait screen,2
Baily biome: Subtropical devision,2
Bahia biome,2
Mycangium of Xylosandrus nutilatus on Vitus rotundafolia,2
Mycelium of context,2
bacteriome of Melophagus ovinus,2
Bacterimia,2
bacterial wilt,2
mycosystema,2
MYG,2
Bacterial Isolate,2
Myrmicocrypta ednaella,2
bacterial genomes,2
Pinus patula seedling,2
N11,2
N13,2
N15,2
N17,2
N19,2
N21,2
N23,2
N25,2
N27,2
N29,2
bacterial enrichment,2
N31,2
N33,2
N35,2
N37,2
N39,2
N4,2
N41,2
N43,2
N45,2
N47,2
N49,2
N51,2
N53,2
N55,2
N57,2
N59,2
N6,2
N63,2
N65,2
N69,2
N7,2
N71,2
N9,2
00002127,2
bacterial cell,2
NAL-A3,2
bacterial biofilm associated with Fucus spiralis,2
NAL-B8,2
NAL-C5,2
NAL-D1,2
NAL-D-8,2
Bacteria from worms raised in compost microcosms,2
Bacteria from compost microcosms (Soil),2
Nanji Wastewater treatment plant,2
Pinus pinea | nursery,2
Bacteria from compost microcosms,2
Napa cabbage after disinfection,2
Napa cabbage after salt-soaking,2
Napa cabbage soaked in 10% NaCl solution,2
Napa cabbage soaked in 2% NaCl solution,2
Napa cabbage soaked in sterile water,2
background,2
nasal 101,2
nasal 102,2
nasal 110,2
nasal 500,2
nasal 504,2
nasal 505,2
nasal 506,2
nasal 507,2
nasal 511,2
nasal 512,2
nasal 513,2
nasal 515,2
nasal 518,2
nasal 521,2
nasal 530,2
nasal 534,2
nasal 700,2
nasal 701,2
nasal 702,2
nasal 704,2
nasal 706,2
nasal 708,2
B8,2
B7,2
B5,2
nasal discharge swab,2
nasal ischarge,2
B32,2
B31,2
B22,2
B21,2
B1_6h,2
B146,2
B1_3h,2
B12,2
B10,2
Nasal Swabs 1,2
Nasal Swabs 2,2
Nasal Swabs 3,2
Nasal Swabs 4,2
Nasal Swabs 5,2
Nasal Swabs 6,2
B00Sl022,2
B00NL014,2
B00NL013,2
B00NL012,2
B00Fl004,2
B00FL003,2
B00Fl002,2
B00FL001,2
azo wastewaterl 5 salinity,2
azo wastewaterl 3 salinity,2
azo wastewaterl 0 salinity,2
azo dye waster water,2
Awa-bancha,2
AW1.7 mutant,2
nasopharyngeal swab specimen,2
avocado rhizosphere,2
nasopharyngeal washing,2
avian oral,2
avian nest materials,2
Nassella trichotoma,2
Avena sativa cv. Borrus grain,2
Austin influent,2
aural discharge,2
Augusta influent,2
National park soil,2
National Wildlife Refuge,2
Auburn influent,2
Atta sp. Fungus garden,2
native forest soil,2
native forest soil - replicate 2,2
native forest soil - replicate 3,2
native forest soil - replicate 4,2
native forest soil - replicate 5,2
Atta mexicana,2
Atta colombica fungus garden,2
attached gingivae,2
Atriplex sp.,2
at margin of tropical rain forest in valley,2
Atlantic Forest biome,2
Atlantic forest biome,2
atlantic forest,2
athleticfacility,2
10% platinum on carbon,2
Asymptomatic replicate 3,2
Asymptomatic replicate 2,2
asymptomatic photosynthetic tissue,2
A strain isolated from the intestines,2
Pinus silvestris,2
10% nickel on carbon,2
Associated to stingless bees,2
10mM_Sulfoquinovose_DNA_extraction_blank,2
Aspius_aspius,2
asphalt marine sediment,2
Asphalt-lakes,2
Asphalt deposits,2
Pinus sylvestris | nursery,2
Pinus tecunumaii Tree Plantation,2
10mM_Sulfoquinovose_50%D2O_DNA_extraction_blank,2
aspen forest soil,2
Asparagus officinalis,2
Natural gas field,2
a single generous loop of nutritional supplement from a sealed individual container,2
As(III)-oxidizing sand 0.7L microbiome,2
As(III)-oxidizing sand 0.1L microbiome,2
As(III)-oxidizing rings 0.7L microbiome,2
As(III)-oxidizing rings 0.1L microbiome,2
10mM_Glucose_DNA_extraction_blank,2
Ash tree,2
A sheltered and sunny hillside,2
a sewage plant for wastewater from oil reservoir,2
Naturally black table olive fermentation (Bosana var.),2
a sewage plant,2
Naturally fermented sour cow milk,2
Aseptic frozen tube,2
Asclepias tuberosa,2
Ascidian [BTO_0000090]|rock [ENVO_00001995]|coastal sea water [ENVO_00002150],2
asceptic culture,2
ascending_colon_9,2
ascending_colon_8,2
ascending_colon_7,2
natural prairial soil,2
natural P. tabuliformis forest,2
ascending_colon_6,2
ascending_colon_5,2
ascending_colon_46,2
ascending_colon_45,2
ascending_colon_44,2
ascending_colon_43,2
ascending_colon_42,2
ascending_colon_41,2
ascending_colon_40,2
ascending_colon_4,2
ascending_colon_39,2
Natural water,2
natural water and sediment,2
00002120,2
PIP-A5,2
ascending_colon_38,2
ascending_colon_37,2
PIP-B7,2
ascending_colon_36,2
ascending_colon_35,2
Nature Reserve,2
ascending_colon_34,2
ascending_colon_33,2
navicular,2
ascending_colon_32,2
N-B,2
ascending_colon_31,2
ascending_colon_30,2
ascending_colon_3,2
ascending_colon_29,2
NCBITaxon:2,2
ascending_colon_28,2
NCBITaxon:4577,2
ascending_colon_27,2
ascending_colon_26,2
ascending_colon_25,2
ascending_colon_24,2
ascending_colon_23,2
ascending_colon_22,2
ascending_colon_21,2
ascending_colon_20,2
ascending_colon_2,2
ascending_colon_19,2
ascending_colon_18,2
NCIT:C12727,2
ascending_colon_17,2
ascending_colon_16,2
ascending_colon_15,2
ascending_colon_14,2
ascending_colon_13,2
ascending_colon_12,2
NCIT:C160991,2
ascending_colon_11,2
ascending_colon_10,2
ascending_colon_1,2
NCIT:C178990,2
PIP-C7,2
NCIT_C68564,2
Artificial surface,2
artificial oil collection poll,2
NDAP,2
Artificial_(mock),2
artificial environmental water,2
artificial community of bacteria,2
PIP-D7,2
Near drainage ditch,2
Near industrial discharge,2
Artificial carrier-based enrichment culture,2
artificial canal,2
Artificial Bacterial Community,2
artifical lake [ENVO_00000377],2
artifical,2
artichoke field,2
Artesian Spring,2
Artesian hot spring water,2
Arsenic rich groundwater,2
arsenic-contaminated soils,2
Nearshore Sediment,2
nearshore zone,2
arsenic-contaminated soil,2
arsenic-containing biofilms,2
near to nest of skua,2
around the pond,2
"Arid, Steppe, Cold arid",2
necrotic lesion,2
Argon gas sparging|low DO,2
Argentina,2
A relatively enclosed space,2
area with heavy foot traffic,2
area of rocky shore [ENVO:01000428],2
area of mixed forst,2
negativ,2
Negativ control,2
area of emergent herbaceous wetland [ENVO_01000894],2
negative1,2
negative2,2
negative3,2
area of cropland [ENVO:01000892]|ditch water [ENVO:00002158],2
Area of crop land ENVO_01000892,2
arctic sediment,2
negative control at laboratory,2
Arctic oligotrophic cryosol SIP top band 3,2
negative control DNA extraction,2
Arctic oligotrophic cryosol SIP top band 2,2
negative control for DNA extraction,2
Negative control for esakows1_152133_plate_1,2
Arctic oligotrophic cryosol SIP top band 1,2
negative control PCR amplification,2
Arctic oligotrophic cryosol SIP bottom band 3,2
Arctic oligotrophic cryosol SIP bottom band 2,2
Arctic oligotrophic cryosol SIP bottom band 1,2
Negative extraction control,2
Arctic oligotrophic cryosol SIP 3,2
Arctic oligotrophic cryosol SIP 2,2
Arctic oligotrophic cryosol SIP 1,2
Arctic ocean sea water,2
negative pressure isolator,2
pipe,2
10%foodwaiste_Mia,2
archive room6,2
10% FeS on carbon,2
10% ferrihydrite on carbon,2
Archaeal microbiome of Lake Sonachi - water at 4m,2
nematode WGS,2
Archaeal microbiome of Lake Sonachi - water at 3m,2
neonatal fece of subject 1 at 14 days after birth,2
neonatal fece of subject 1 at 28 days after birth,2
neonatal fece of subject 1 at 7 days after birth,2
neonatal fece of subject 2 at 14 days after birth,2
neonatal fece of subject 2 at 28 days after birth,2
neonatal fece of subject 2 at 7 days after birth,2
neonatal fece of subject 3 at 14 days after birth,2
neonatal fece of subject 3 at 28 days after birth,2
neonatal fece of subject 3 at 7 days after birth,2
neonatal fece of subject 4 at 14 days after birth,2
neonatal fece of subject 4 at 28 days after birth,2
neonatal fece of subject 4 at 7 days after birth,2
neonatal fece of subject 5 at 14 days after birth,2
neonatal fece of subject 5 at 28 days after birth,2
neonatal fece of subject 5 at 7 days after birth,2
neonatal fece of subject 6 at 14 days after birth,2
neonatal fece of subject 6 at 28 days after birth,2
neonatal fece of subject 6 at 7 days after birth,2
neonatal fece of subject 7 at 14 days after birth,2
neonatal fece of subject 7 at 28 days after birth,2
neonatal fece of subject 7 at 7 days after birth,2
neonatal fece of subject 8 at 14 days after birth,2
neonatal fece of subject 8 at 28 days after birth,2
neonatal fece of subject 8 at 7 days after birth,2
Archaeal microbiome of Lake Sonachi - water at 2m,2
Archaeal microbiome of Lake Sonachi - water at 1m,2
neonatal piglets,2
Neoromicia,2
neotropical,2
Neotropic-(Temperate broadleaf and mixed forests); Andean grassland and scrub; Valdivian temperate forests,2
Neotropic-(Temperate broadleaf and mixed forests); Araucaria and Nothofagus forest; Valdivian temperate forests,2
Plant-associated environment,2
Neotropic-(Temperate broadleaf and mixed forests); River bank; Valdivian temperate forests,2
Neotropic-(Tropical and subtropical moist broadleaf forests); Isthmian-Atlantic moist forests; Swamp forest,2
Neotropic-(Tropical and subtropical moist broadleaf forests); Talamancan montane forests; Montane Quercus forest,2
Neotropic-(Tropical and subtropical moist broadleaf forests); Talamancan montane forests; Montane scrub-forest,2
Archaeal microbiome of Lake Sonachi - water at 0m,2
Archaeal microbiome of Lake Sonachi - water at 0.5m,2
Archaeal microbiome of Lake Sonachi - sediment surface,2
Archaeal microbiome of Lake Sonachi - sediment subsurface,2
Arbutus unedo shoots,2
Arbutus unedo | nursery,2
Arbutus unedo | forest,2
Arabidopsis,2
Arabian sea water,2
Arabian Sea OMZ,2
Arabian sea,2
Nerium indicum,2
aquifer sediment,2
"aquifer, Lower Jurassic, artesian",2
aquicultural seawater,2
aqueous suspension,2
Aqueduct,2
Aquatic Microbial Mat,2
nesting material [ENVO:02000004],2
nest material,2
AQUATIC,2
Aquarium culture,2
00000096,2
aquaponics systems,2
Net surface,2
neutral hot spring ENVO:00002181,2
10℃,2
New-bibcock,2
New-branch pipe,2
Aquaculture system24,2
New London influent,2
New-main pipe,2
new pond field [ENVO:01000352],2
new sand,2
New York,2
NF1S.V3,2
NF1S.V4,2
NF2S.V3,2
NF2S.V4,2
NF3S.V3,2
NF3S.V4,2
NF4S.V3,2
NF4S.V4,2
nH,2
Pistachio bud,2
Nicotiana tabacum,2
Aquaculture biome,2
Ni depletion | increased acetate concentrations | increased propionate concentrations,2
aquacultural pond,2
Apterostigma bruchi,2
apple flowers,2
NIT-1-J,2
NIT-2-A,2
NIT-3-B,2
NIT-4-A,2
apple biome,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:9 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:42 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:41 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:40 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:39 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:38 ratio,2
nitrifying enrichment,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:37 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:36 ratio,2
nitrite oxidizing laboratory bioreactor,2
nitrite-oxidizing laboratory bioreactor,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:35 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:34 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:33 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:32 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:31 ratio,2
nitrogen replete,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:30 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:29 ratio,2
NK1R1,2
NK1R2,2
NK2R1,2
NK2R2,2
NK3R1,2
NK3R2,2
NK4R1,2
NK4R2,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:28 ratio,2
NMS medium,2
NNN_subsoil_1,2
NNN_subsoil_2,2
NNN_subsoil_3,2
NNN_subsoil_4,2
NNN_subsoil_5,2
NNN_subsoil_6,2
NNN_Topsoil_1,2
NNN_Topsoil_2,2
NNN_Topsoil_3,2
NNN_Topsoil_4,2
NNN_Topsoil_5,2
NNN_Topsoil_6,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:27 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:26 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:25 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:24 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:23 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:22 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:21 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:20 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:19 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:18 ratio,2
No_amendment_DNA_extraction_blank,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:17 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:16 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:15 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:14 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:13 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:12 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:11 ratio,2
a pot mixed with soil from ginseng monoculture and regular soil in a 1:10 ratio,2
Apodemus_flavicollis,2
apical infection,2
APEXseq PFA,2
APEXseq,2
apartment complexes,2
nodules from cattle,2
Nodules of Trifolium sp.,2
No-inoculation,2
anthropogenic terrestrial_9,2
anthropogenic terrestrial_7,2
anthropogenic terrestrial_6,2
anthropogenic terrestrial_5,2
anthropogenic terrestrial_4,2
anthropogenic terrestrial_3,2
anthropogenic terrestrial_2,2
Non-antibiotic_preparation_room,2
non-AOC,2
anthropogenic terrestrial_18,2
anthropogenic terrestrial_17,2
non_applicable,2
anthropogenic terrestrial_16,2
anthropogenic terrestrial_15,2
non-cultivated land,2
anthropogenic terrestrial_14,2
anthropogenic terrestrial_13,2
anthropogenic terrestrial_12,2
anthropogenic terrestrial_11,2
anthropogenic terrestrial_10,2
anthropogenic terrestrial_1,2
anthropogenic environmental material [ENVO:001001],2
anthropogenic environmental_9,2
anthropogenic environmental_7,2
anthropogenic environmental_6,2
anthropogenic environmental_5,2
106-MAO-4_S137,2
anthropogenic environmental_4,2
anthropogenic environmental_3,2
anthropogenic environmental_2,2
anthropogenic environmental_18,2
Non Inoculated seedling forest soil,2
Non Inoculated seedling forest soil - replicate 2,2
Non Inoculated seedling forest soil - replicate 3,2
Non Inoculated seedling forest soil - replicate 4,2
Non Inoculated seedling forest soil - replicate 5,2
anthropogenic environmental_17,2
anthropogenic environmental_16,2
anthropogenic environmental_15,2
anthropogenic environmental_14,2
anthropogenic environmental_13,2
anthropogenic environmental_12,2
anthropogenic environmental_11,2
anthropogenic environmental_10,2
anthropogenic environmental_1,2
anthropogenic contamination feature [ENVO:00002204],2
Anthropogenic biome [ENVO:00002031],2
anthropogenic abiotic mesoscopic feature [ENVO:00003075],2
Non-purified solar salt,2
anthropised terrestrial environmental zone ENVO_01001200,2
Anthracite,2
Anthill,2
non_rhizosphere site 1,2
non_rhizosphere site 2,2
non_rhizosphere site 3,2
non_rhizosphere site 4,2
non_rhizosphere site 5,2
anterior nasal,2
Non rhizosphere soil 1 Rep1,2
Non rhizosphere soil 1 Rep2,2
Non rhizosphere soil 2 Rep1,2
Non rhizosphere soil 2 Rep2,2
Antarctic Peninsula,2
Antarctic marine sediment,2
Antarctic lakes,2
Antarctic desert cirque,2
Nonsymptomatic cattle,2
antagonistic towards plant pathogenic fungi,2
Anoxic zone freshwater,2
Non vegetated soil,2
Anoxic Zone,2
anoxic water [ENVO_01000173],2
anoxic water column,2
No Plant,2
anoxic soil,2
No protein restriction Oreochromis niloticus aquaculture,2
anoxic rice-field,2
no reduced sulfur,2
Anoxic pond,2
anoxic collection basin,2
normal buccal gingiva,2
normal colonic,2
anoxic basin,2
Anolyte,2
an old citrus orchard (20 years),2
