raw_text,portion_parsed,normalized_curie,normalized_label,count
bulk liquid reactor MB3BCh1 replicate,bulk liquid reactor MB3BCh1 replicate,,bulk liquid reactor MB3BCh1 replicate,2
bulk liquid reactor MB3BCh1,bulk liquid reactor MB3BCh1,,bulk liquid reactor MB3BCh1,2
01000301,01000301,,01000301,2
bulk liquid reactor MB3ACh2 replicate3,bulk liquid reactor MB3ACh2 replicate3,,bulk liquid reactor MB3ACh2 replicate3,2
bulk liquid reactor MB3ACh2 replicate2,bulk liquid reactor MB3ACh2 replicate2,,bulk liquid reactor MB3ACh2 replicate2,2
bulk liquid reactor MB3ACh2 replicate,bulk liquid reactor MB3ACh2 replicate,,bulk liquid reactor MB3ACh2 replicate,2
bulk liquid reactor MB3ACh2,bulk liquid reactor MB3ACh2,,bulk liquid reactor MB3ACh2,2
bulk liquid reactor MB3ACh1 replicate,bulk liquid reactor MB3ACh1 replicate,,bulk liquid reactor MB3ACh1 replicate,2
bulk liquid reactor MB3ACh1,bulk liquid reactor MB3ACh1,,bulk liquid reactor MB3ACh1,2
Milk and cheese,Milk and cheese,,Milk and cheese,2
milk_b4coag1,milk_b4coag1,,milk_b4coag1,2
milk_b4coag2,milk_b4coag2,,milk_b4coag2,2
milk_before_ripening,milk_before_ripening,,milk_before_ripening,2
milk_cow4,milk_cow4,,milk_cow4,2
milk_filtered_bucket1,milk_filtered_bucket1,,milk_filtered_bucket1,2
milk_filtered_bucket2,milk_filtered_bucket2,,milk_filtered_bucket2,2
milk_Fridayb4barrel,milk_Fridayb4barrel,,milk_Fridayb4barrel,2
building - waste treatment plant,building - waste treatment plant,,building - waste treatment plant,2
milk kefirs,milk kefirs,,milk kefirs,2
Building rooftop,Building rooftop,,Building rooftop,2
building main,building main,,building main,2
building - fish processing,building - fish processing,,building - fish processing,2
building - dairy processing,building - dairy processing,,building - dairy processing,2
buho200m,buho200m,,buho200m,2
milk production system,milk production system,,milk production system,2
Bufo_bufo,Bufo_bufo,,Bufo_bufo,2
milk_ripened_barrel,milk_ripened_barrel,,milk_ripened_barrel,2
milk_ripened_barrel2,milk_ripened_barrel2,,milk_ripened_barrel2,2
Milk sample,Milk sample,,Milk sample,2
01000161,01000161,,01000161,2
mill,mill,,mill,2
Millepora alcicornis,Millepora alcicornis,,Millepora alcicornis,2
Millepora Mucus,Millepora Mucus,,Millepora Mucus,2
Millepora Skeleton,Millepora Skeleton,,Millepora Skeleton,2
Millepora Tissue,Millepora Tissue,,Millepora Tissue,2
bud rot affected tissue from coconut,bud rot affected tissue from coconut,,bud rot affected tissue from coconut,2
bucket,bucket,,bucket,2
Milwaukee influent,Milwaukee influent,,Milwaukee influent,2
BTO:0000659,BTO:0000659,,BTO:0000659,2
bsc,bsc,,bsc,2
Minced meat,Minced meat,,Minced meat,2
brucella broth,brucella broth,,brucella broth,2
brownish colored sea ice [ENVO:01001190],brownish colored sea ice [ENVO:01001190],ENVO:01001190,brownish colored sea ice,2
brown algae,brown algae,,brown algae,2
broth,broth,,broth,2
brook water,brook water,,brook water,2
brook trout,brook trout,,brook trout,2
bronchial lavage fluid,bronchial lavage fluid,,bronchial lavage fluid,2
Broncheal aspirate,Broncheal aspirate,,Broncheal aspirate,2
broncheal aspirate,broncheal aspirate,,broncheal aspirate,2
Bromus spp. leaf,Bromus spp. leaf,,Bromus spp. leaf,2
Bromus carinatus,Bromus carinatus,,Bromus carinatus,2
broiler breed,broiler breed,,broiler breed,2
broccoli leaf surfaces,broccoli leaf surfaces,,broccoli leaf surfaces,2
Broad-leaved forest,Broad-leaved forest,,Broad-leaved forest,2
Mineral medium,Mineral medium,,Mineral medium,2
Brine of fermented Alorena olives,Brine of fermented Alorena olives,,Brine of fermented Alorena olives,2
Mineral Salt medium,Mineral Salt medium,,Mineral Salt medium,2
brine and ice crystals,brine and ice crystals,,brine and ice crystals,2
bridge concrete,bridge concrete,,bridge concrete,2
Brewery (ENVO:00003885),Brewery (ENVO:00003885),ENVO:00003885,Brewery,2
Brewery environment,Brewery environment,,Brewery environment,2
mineral spring ENVO_00000125,mineral spring ENVO_00000125,ENVO:00000125,mineral spring,2
breeding species,breeding species,,breeding species,2
0-10,0-10,,0-10,2
Breeding and finishing unit,Breeding and finishing unit,,Breeding and finishing unit,2
Mine soil,Mine soil,,Mine soil,2
mine stream,mine stream,,mine stream,2
breast milk of subject 8 at 28 days after delivery,breast milk of subject 8 at 28 days after delivery,,breast milk of subject 8 at 28 days after delivery,2
breast milk of subject 8 at 14 days after delivery,breast milk of subject 8 at 14 days after delivery,,breast milk of subject 8 at 14 days after delivery,2
breast milk of subject 7 at 7 days after delivery,breast milk of subject 7 at 7 days after delivery,,breast milk of subject 7 at 7 days after delivery,2
breast milk of subject 7 at 28 days after delivery,breast milk of subject 7 at 28 days after delivery,,breast milk of subject 7 at 28 days after delivery,2
breast milk of subject 7 at 14 days after delivery,breast milk of subject 7 at 14 days after delivery,,breast milk of subject 7 at 14 days after delivery,2
breast milk of subject 6 at 7 days after delivery,breast milk of subject 6 at 7 days after delivery,,breast milk of subject 6 at 7 days after delivery,2
breast milk of subject 6 at 28 days after delivery,breast milk of subject 6 at 28 days after delivery,,breast milk of subject 6 at 28 days after delivery,2
breast milk of subject 6 at 14 days after delivery,breast milk of subject 6 at 14 days after delivery,,breast milk of subject 6 at 14 days after delivery,2
breast milk of subject 5 at 28 days after delivery,breast milk of subject 5 at 28 days after delivery,,breast milk of subject 5 at 28 days after delivery,2
breast milk of subject 5 at 14 days after delivery,breast milk of subject 5 at 14 days after delivery,,breast milk of subject 5 at 14 days after delivery,2
breast milk of subject 4 at 7 days after delivery,breast milk of subject 4 at 7 days after delivery,,breast milk of subject 4 at 7 days after delivery,2
breast milk of subject 4 at 28 days after delivery,breast milk of subject 4 at 28 days after delivery,,breast milk of subject 4 at 28 days after delivery,2
breast milk of subject 4 at 14 days after delivery,breast milk of subject 4 at 14 days after delivery,,breast milk of subject 4 at 14 days after delivery,2
breast milk of subject 3 at 7 days after delivery,breast milk of subject 3 at 7 days after delivery,,breast milk of subject 3 at 7 days after delivery,2
breast milk of subject 3 at 28 days after delivery,breast milk of subject 3 at 28 days after delivery,,breast milk of subject 3 at 28 days after delivery,2
breast milk of subject 3 at 14 days after delivery,breast milk of subject 3 at 14 days after delivery,,breast milk of subject 3 at 14 days after delivery,2
mine water from a small gassy mine,mine water from a small gassy mine,,mine water from a small gassy mine,2
breast milk of subject 2 at 7 days after delivery,breast milk of subject 2 at 7 days after delivery,,breast milk of subject 2 at 7 days after delivery,2
breast milk of subject 2 at 28 days after delivery,breast milk of subject 2 at 28 days after delivery,,breast milk of subject 2 at 28 days after delivery,2
minimal medium without sterol,minimal medium without sterol,,minimal medium without sterol,2
minimal medium with β-sitosterol,minimal medium with β-sitosterol,,minimal medium with β-sitosterol,2
breast milk of subject 2 at 14 days after delivery,breast milk of subject 2 at 14 days after delivery,,breast milk of subject 2 at 14 days after delivery,2
breast milk of subject 1 at 7 days after delivery,breast milk of subject 1 at 7 days after delivery,,breast milk of subject 1 at 7 days after delivery,2
breast milk of subject 1 at 28 days after delivery,breast milk of subject 1 at 28 days after delivery,,breast milk of subject 1 at 28 days after delivery,2
breast milk of subject 1 at 14 days after delivery,breast milk of subject 1 at 14 days after delivery,,breast milk of subject 1 at 14 days after delivery,2
Mining Shaft,Mining Shaft,,Mining Shaft,2
pig manure digestate,pig manure digestate,,pig manure digestate,2
135-MP-4-B_S82,135-MP-4-B_S82,,135-MP-4-B_S82,2
mini-pig,mini-pig,,mini-pig,2
Brassica oleacera,Brassica oleacera,,Brassica oleacera,2
Brassica,Brassica,,Brassica,2
Branta_leucopsis,Branta_leucopsis,,Branta_leucopsis,2
135-MP-3_S63,135-MP-3_S63,,135-MP-3_S63,2
Brakish water environment,Brakish water environment,,Brakish water environment,2
Brakish environment,Brakish environment,,Brakish environment,2
missing10,missing10,,missing10,2
missing100,missing100,,missing100,2
missing101,missing101,,missing101,2
missing102,missing102,,missing102,2
missing103,missing103,,missing103,2
missing104,missing104,,missing104,2
missing105,missing105,,missing105,2
missing106,missing106,,missing106,2
missing107,missing107,,missing107,2
missing108,missing108,,missing108,2
missing109,missing109,,missing109,2
missing11,missing11,,missing11,2
missing110,missing110,,missing110,2
missing111,missing111,,missing111,2
missing112,missing112,,missing112,2
missing113,missing113,,missing113,2
missing114,missing114,,missing114,2
missing115,missing115,,missing115,2
missing116,missing116,,missing116,2
missing117,missing117,,missing117,2
missing118,missing118,,missing118,2
missing119,missing119,,missing119,2
missing12,missing12,,missing12,2
missing120,missing120,,missing120,2
missing121,missing121,,missing121,2
missing122,missing122,,missing122,2
missing123,missing123,,missing123,2
missing124,missing124,,missing124,2
missing125,missing125,,missing125,2
missing126,missing126,,missing126,2
missing127,missing127,,missing127,2
missing128,missing128,,missing128,2
missing129,missing129,,missing129,2
missing13,missing13,,missing13,2
missing130,missing130,,missing130,2
missing131,missing131,,missing131,2
missing132,missing132,,missing132,2
missing133,missing133,,missing133,2
missing134,missing134,,missing134,2
missing135,missing135,,missing135,2
missing136,missing136,,missing136,2
missing137,missing137,,missing137,2
missing138,missing138,,missing138,2
missing139,missing139,,missing139,2
missing14,missing14,,missing14,2
missing140,missing140,,missing140,2
missing141,missing141,,missing141,2
missing142,missing142,,missing142,2
missing143,missing143,,missing143,2
missing144,missing144,,missing144,2
missing145,missing145,,missing145,2
missing146,missing146,,missing146,2
missing147,missing147,,missing147,2
missing148,missing148,,missing148,2
missing149,missing149,,missing149,2
missing15,missing15,,missing15,2
missing150,missing150,,missing150,2
missing151,missing151,,missing151,2
missing152,missing152,,missing152,2
missing153,missing153,,missing153,2
missing154,missing154,,missing154,2
missing155,missing155,,missing155,2
missing156,missing156,,missing156,2
missing157,missing157,,missing157,2
missing158,missing158,,missing158,2
missing159,missing159,,missing159,2
missing16,missing16,,missing16,2
missing160,missing160,,missing160,2
missing161,missing161,,missing161,2
missing162,missing162,,missing162,2
missing163,missing163,,missing163,2
missing164,missing164,,missing164,2
missing165,missing165,,missing165,2
missing166,missing166,,missing166,2
missing167,missing167,,missing167,2
missing17,missing17,,missing17,2
missing18,missing18,,missing18,2
missing19,missing19,,missing19,2
missing20,missing20,,missing20,2
missing21,missing21,,missing21,2
missing22,missing22,,missing22,2
missing23,missing23,,missing23,2
missing24,missing24,,missing24,2
missing25,missing25,,missing25,2
missing26,missing26,,missing26,2
missing27,missing27,,missing27,2
missing28,missing28,,missing28,2
missing29,missing29,,missing29,2
missing3,missing3,,missing3,2
missing30,missing30,,missing30,2
missing31,missing31,,missing31,2
missing32,missing32,,missing32,2
missing33,missing33,,missing33,2
missing34,missing34,,missing34,2
missing35,missing35,,missing35,2
missing36,missing36,,missing36,2
missing37,missing37,,missing37,2
missing38,missing38,,missing38,2
missing39,missing39,,missing39,2
missing4,missing4,,missing4,2
missing40,missing40,,missing40,2
missing41,missing41,,missing41,2
missing42,missing42,,missing42,2
missing43,missing43,,missing43,2
missing44,missing44,,missing44,2
missing45,missing45,,missing45,2
missing46,missing46,,missing46,2
missing47,missing47,,missing47,2
missing48,missing48,,missing48,2
missing49,missing49,,missing49,2
missing5,missing5,,missing5,2
missing50,missing50,,missing50,2
missing51,missing51,,missing51,2
missing52,missing52,,missing52,2
missing53,missing53,,missing53,2
missing54,missing54,,missing54,2
missing55,missing55,,missing55,2
missing56,missing56,,missing56,2
missing57,missing57,,missing57,2
missing58,missing58,,missing58,2
missing59,missing59,,missing59,2
missing6,missing6,,missing6,2
missing60,missing60,,missing60,2
missing61,missing61,,missing61,2
missing62,missing62,,missing62,2
missing63,missing63,,missing63,2
missing64,missing64,,missing64,2
missing65,missing65,,missing65,2
missing66,missing66,,missing66,2
missing67,missing67,,missing67,2
missing68,missing68,,missing68,2
missing69,missing69,,missing69,2
missing7,missing7,,missing7,2
missing70,missing70,,missing70,2
missing71,missing71,,missing71,2
missing72,missing72,,missing72,2
missing73,missing73,,missing73,2
missing74,missing74,,missing74,2
missing75,missing75,,missing75,2
missing76,missing76,,missing76,2
missing77,missing77,,missing77,2
missing78,missing78,,missing78,2
missing79,missing79,,missing79,2
missing8,missing8,,missing8,2
missing80,missing80,,missing80,2
missing81,missing81,,missing81,2
missing82,missing82,,missing82,2
missing83,missing83,,missing83,2
missing84,missing84,,missing84,2
missing85,missing85,,missing85,2
missing86,missing86,,missing86,2
missing87,missing87,,missing87,2
missing88,missing88,,missing88,2
missing89,missing89,,missing89,2
missing9,missing9,,missing9,2
missing90,missing90,,missing90,2
missing91,missing91,,missing91,2
missing92,missing92,,missing92,2
missing93,missing93,,missing93,2
missing94,missing94,,missing94,2
missing95,missing95,,missing95,2
missing96,missing96,,missing96,2
missing97,missing97,,missing97,2
missing98,missing98,,missing98,2
missing99,missing99,,missing99,2
missing|||activated sludge,missing,,missing,2
missing|||activated sludge,activated sludge,,activated sludge,2
missing|||Activated Sludge,missing,,missing,2
missing|||Activated Sludge,Activated Sludge,,Activated Sludge,2
missing|||anaerobic digester,missing,,missing,2
missing|||anaerobic digester,anaerobic digester,,anaerobic digester,2
missing|||anaerobic digester sludge,missing,,missing,2
missing|||anaerobic digester sludge,anaerobic digester sludge,,anaerobic digester sludge,2
missing|||bacteria,missing,,missing,2
missing|||bacteria,bacteria,,bacteria,2
brackish meromictic lake,brackish meromictic lake,,brackish meromictic lake,2
missing|||Faecal sample,missing,,missing,2
missing|||Faecal sample,Faecal sample,,Faecal sample,2
missing|||Full-scale wastewater treatment plant,missing,,missing,2
missing|||Full-scale wastewater treatment plant,Full-scale wastewater treatment plant,,Full-scale wastewater treatment plant,2
bovine slurry,bovine slurry,,bovine slurry,2
Bovine rumen fluid,Bovine rumen fluid,,Bovine rumen fluid,2
missing|||Hp-R,missing,,missing,2
missing|||Hp-R,Hp-R,,Hp-R,2
bovine (food source),bovine (food source),,bovine food source,2
Bovine faeces,Bovine faeces,,Bovine faeces,2
135-MP-3-B_S64,135-MP-3-B_S64,,135-MP-3-B_S64,2
135-MP-2_S61,135-MP-2_S61,,135-MP-2_S61,2
missing|||hydrothermal vent,missing,,missing,2
missing|||hydrothermal vent,hydrothermal vent,,hydrothermal vent,2
missing|||Id-R,missing,,missing,2
missing|||Id-R,Id-R,,Id-R,2
boulder sediment [ENVO:01000114],boulder sediment [ENVO:01000114],ENVO:01000114,boulder sediment,2
missing|||marine,missing,,missing,2
missing|||marine,marine,,marine,2
missing|||mesophilic,missing,,missing,2
missing|||mesophilic,mesophilic,,mesophilic,2
missing|||N/A,missing,,missing,2
missing|||N/A,N/A,,N/A,2
135-MP-2-B_S62,135-MP-2-B_S62,,135-MP-2-B_S62,2
bottle glass,bottle glass,,bottle glass,2
missing|||Oral,missing,,missing,2
missing|||Oral,Oral,,Oral,2
Bos_taurus,Bos_taurus,,Bos_taurus,2
Bos_frontalis,Bos_frontalis,,Bos_frontalis,2
missing|||sediment,missing,,missing,2
missing|||sediment,sediment,,sediment,2
missing|||Sewer,missing,,missing,2
missing|||Sewer,Sewer,,Sewer,2
missing|||Sewer_2,missing,,missing,2
missing|||Sewer_2,Sewer_2,,Sewer_2,2
Boreal Peatland,Boreal Peatland,,Boreal Peatland,2
Boreal Natural Region (Lower Boreal Highlands Subregion). Nutrient poor hydric black spruce bog. % 25x15 m plot disturbed: none.,Boreal Natural Region (Lower Boreal Highlands Subregion). Nutrient poor hydric black spruce bog. % 25x15 m plot disturbed: none.,,Boreal Natural Region Lower Boreal Highlands Subregion. Nutrient poor hydric black spruce bog. % 25x15 m plot disturbed: none.,2
missing|||Stool sample,missing,,missing,2
missing|||Stool sample,Stool sample,,Stool sample,2
"Boreal Natural Region (Dry Mixedwood Subregion). Dominant current ecosite (150m radius): Mesic black spruce forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: 5% pasture.","Boreal Natural Region (Dry Mixedwood Subregion). Dominant current ecosite (150m radius): Mesic black spruce forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: 5% pasture.",,"Boreal Natural Region Dry Mixedwood Subregion. Dominant current ecosite 150m radius: Mesic black spruce forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: 5% pasture.",2
135-MP-1_S59,135-MP-1_S59,,135-MP-1_S59,2
135-MP-1-B_S60,135-MP-1-B_S60,,135-MP-1-B_S60,2
"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (50m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none.","Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (50m radius): Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none.",,"Boreal Natural Region Central Mixedwood Subregion. Dominant current ecosite 50m radius: Mesic pine dominated forest on nutrient poor soils, trees >=10m tall. % 25x15 m plot disturbed: none.",2
missing|||wastewater treatment plant,missing,,missing,2
missing|||wastewater treatment plant,wastewater treatment plant,,wastewater treatment plant,2
missing|||wastewater treatment plant influent,missing,,missing,2
missing|||wastewater treatment plant influent,wastewater treatment plant influent,,wastewater treatment plant influent,2
"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (50m radius): Hygric upland poplar forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.","Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (50m radius): Hygric upland poplar forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.",,"Boreal Natural Region Central Mixedwood Subregion. Dominant current ecosite 50m radius: Hygric upland poplar forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.",2
Mission Valley,Mission Valley,,Mission Valley,2
"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Site subject to recent anthropogenic disturbance, dominated by shrubs. % 25x15 m plot disturbed: 5% pipeline, 5% trail.","Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Site subject to recent anthropogenic disturbance, dominated by shrubs. % 25x15 m plot disturbed: 5% pipeline, 5% trail.",,"Boreal Natural Region Central Mixedwood Subregion. Dominant current ecosite 150m radius: Site subject to recent anthropogenic disturbance, dominated by shrubs. % 25x15 m plot disturbed: 5% pipeline, 5% trail.",2
Missoula influent,Missoula influent,,Missoula influent,2
Missouri_Truckle,Missouri_Truckle,,Missouri_Truckle,2
"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Rich fen, <10% tree cover, with shrubs <2m tall. % 25x15 m plot disturbed: none.","Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Rich fen, <10% tree cover, with shrubs <2m tall. % 25x15 m plot disturbed: none.",,"Boreal Natural Region Central Mixedwood Subregion. Dominant current ecosite 150m radius: Rich fen, <10% tree cover, with shrubs <2m tall. % 25x15 m plot disturbed: none.",2
"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Mesic aspen mixedwood on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.","Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Mesic aspen mixedwood on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.",,"Boreal Natural Region Central Mixedwood Subregion. Dominant current ecosite 150m radius: Mesic aspen mixedwood on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.",2
"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland black spruce forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.","Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Hygric upland black spruce forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.",,"Boreal Natural Region Central Mixedwood Subregion. Dominant current ecosite 150m radius: Hygric upland black spruce forest on moderately nutrient-rich soils, trees >=10m tall. % 25x15 m plot disturbed: none.",2
"Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Black spruce bog, trees <10m tall. % 25x15 m plot disturbed: none.","Boreal Natural Region (Central Mixedwood Subregion). Dominant current ecosite (150m radius): Black spruce bog, trees <10m tall. % 25x15 m plot disturbed: none.",,"Boreal Natural Region Central Mixedwood Subregion. Dominant current ecosite 150m radius: Black spruce bog, trees <10m tall. % 25x15 m plot disturbed: none.",2
"Boreal Natural Region (Athabasca Plain Subregion). Dominant current ecosite (50m radius): Mesic aspen forest on moderately nutrient-rich soils, trees <10m tall. % 25x15 m plot disturbed: none.","Boreal Natural Region (Athabasca Plain Subregion). Dominant current ecosite (50m radius): Mesic aspen forest on moderately nutrient-rich soils, trees <10m tall. % 25x15 m plot disturbed: none.",,"Boreal Natural Region Athabasca Plain Subregion. Dominant current ecosite 50m radius: Mesic aspen forest on moderately nutrient-rich soils, trees <10m tall. % 25x15 m plot disturbed: none.",2
Boom Clay borehole water + phosphate,Boom Clay borehole water + phosphate,,Boom Clay borehole water + phosphate,2
Boom Clay borehole water + Old cement water + phosphate,Boom Clay borehole water + Old cement water + phosphate,,Boom Clay borehole water + Old cement water + phosphate,2
bone factories,bone factories,,bone factories,2
Bombus vagans gut,Bombus vagans gut,,Bombus vagans gut,2
Mixed Coniferous & Deciduous Woodland/Marsh,Mixed Coniferous & Deciduous Woodland/Marsh,,Mixed Coniferous & Deciduous Woodland/Marsh,2
Bombus bimaculatus gut,Bombus bimaculatus gut,,Bombus bimaculatus gut,2
Bolus paint,Bolus paint,,Bolus paint,2
Mixed culture of strain PNY2013 and activated sludge,Mixed culture of strain PNY2013 and activated sludge,,Mixed culture of strain PNY2013 and activated sludge,2
mixed environment,mixed environment,,mixed environment,2
mixed grass ecosystem,mixed grass ecosystem,,mixed grass ecosystem,2
body wall,body wall,,body wall,2
mixed hardwood forest,mixed hardwood forest,,mixed hardwood forest,2
body of Neohaematopinus pacificus louse,body of Neohaematopinus pacificus louse,,body of Neohaematopinus pacificus louse,2
bodily fluid material biome [ENVO:02000029],bodily fluid material biome [ENVO:02000029],ENVO:02000029,bodily fluid material biome,2
bocage,bocage,,bocage,2
mixed liquor,mixed liquor,,mixed liquor,2
Bobcat enclosure in Jacksonville Zoological Gardens,Bobcat enclosure in Jacksonville Zoological Gardens,,Bobcat enclosure in Jacksonville Zoological Gardens,2
boat launch,boat launch,,boat launch,2
blue-veained cheese (Stilton),blue-veained cheese (Stilton),,blue-veained cheese Stilton,2
blue-veained cheese (Roquefort),blue-veained cheese (Roquefort),,blue-veained cheese Roquefort,2
blue-veained cheese (Blue-S),blue-veained cheese (Blue-S),,blue-veained cheese Blue-S,2
"mixed omnivorous diet, no antibiotics consumed for 6 months prior","mixed omnivorous diet, no antibiotics consumed for 6 months prior",,"mixed omnivorous diet, no antibiotics consumed for 6 months prior",2
blue hole rim water,blue hole rim water,,blue hole rim water,2
blue hole rim,blue hole rim,,blue hole rim,2
"Blueback salmon, Oncorhynchus nerka","Blueback salmon, Oncorhynchus nerka",,"Blueback salmon, Oncorhynchus nerka",2
Blowfly,Blowfly,,Blowfly,2
blood vasculature,blood vasculature,,blood vasculature,2
bloodstream infection,bloodstream infection,,bloodstream infection,2
mixed-species woodland,mixed-species woodland,,mixed-species woodland,2
blood microbiome,blood microbiome,,blood microbiome,2
131,131,,131,2
Mixed Woodland: Coniferous and Deciduous/ Scrub,Mixed Woodland: Coniferous and Deciduous/ Scrub,,Mixed Woodland: Coniferous and Deciduous/ Scrub,2
blood draw,blood draw,,blood draw,2
mixing tank M,mixing tank M,,mixing tank M,2
blood cells,blood cells,,blood cells,2
bloodborne,bloodborne,,bloodborne,2
BLOOD BIOME,BLOOD BIOME,,BLOOD BIOME,2
Blicca_bjoerkna,Blicca_bjoerkna,,Blicca_bjoerkna,2
mixture of contaminated soil and water,mixture of contaminated soil and water,,mixture of contaminated soil and water,2
[MJ:220803_J28],[MJ:220803_J28],,MJ:220803_J28,2
130,130,,130,2
Blanes Bay,Blanes Bay,,Blanes Bay,2
black spots,black spots,,black spots,2
Mlow-latitude mountain,Mlow-latitude mountain,,Mlow-latitude mountain,2
Bk,Bk,,Bk,2
Bj,Bj,,Bj,2
bivalve (food source),bivalve (food source),,bivalve food source,2
Bird,Bird,,Bird,2
MOCK community,MOCK community,,MOCK community,2
biotic mesoscopic physical object [ENVO:01000009],biotic mesoscopic physical object [ENVO:01000009],ENVO:01000009,biotic mesoscopic physical object,2
bioswale biome,bioswale biome,,bioswale biome,2
biosia,biosia,,biosia,2
Bioreactor with tryptic soy broth,Bioreactor with tryptic soy broth,,Bioreactor with tryptic soy broth,2
bioreactor t2,bioreactor t2,,bioreactor t2,2
"Mock community_HM-783D, 08-Aug-2016","Mock community_HM-783D, 08-Aug-2016",,"Mock community_HM-783D, 08-Aug-2016",2
"bioreactor, continuous culture","bioreactor, continuous culture",,"bioreactor, continuous culture",2
mock library,mock library,,mock library,2
biome [ENVO:000000428],biome [ENVO:000000428],ENVO:00000042,biome8],2
biomaterial containment unit,biomaterial containment unit,,biomaterial containment unit,2
Biomass of SBR at OLR 8.5 gCOD/Ld,Biomass of SBR at OLR 8.5 gCOD/Ld,,Biomass of SBR at OLR 8.5 gCOD/Ld,2
Biomass of SBR at OLR 4.25 gCOD/Ld,Biomass of SBR at OLR 4.25 gCOD/Ld,,Biomass of SBR at OLR 4.25 gCOD/Ld,2
Biomass of SBR at OLR 18 gCOD/Ld,Biomass of SBR at OLR 18 gCOD/Ld,,Biomass of SBR at OLR 18 gCOD/Ld,2
Biomass of SBR at OLR 12.75 gCOD/Ld,Biomass of SBR at OLR 12.75 gCOD/Ld,,Biomass of SBR at OLR 12.75 gCOD/Ld,2
modified atmosphere packaged beef,modified atmosphere packaged beef,,modified atmosphere packaged beef,2
Biomass of SBR at day 92,Biomass of SBR at day 92,,Biomass of SBR at day 92,2
Biomass of SBR at day 57,Biomass of SBR at day 57,,Biomass of SBR at day 57,2
Biomass of SBR at day 29,Biomass of SBR at day 29,,Biomass of SBR at day 29,2
Biomass of SBR at day 202,Biomass of SBR at day 202,,Biomass of SBR at day 202,2
Biomass of SBR at day 123,Biomass of SBR at day 123,,Biomass of SBR at day 123,2
Biomass of SBR at day 1,Biomass of SBR at day 1,,Biomass of SBR at day 1,2
Biomass in liquid (C5),Biomass in liquid (C5),,Biomass in liquid C5,2
Biomass in liquid (A1),Biomass in liquid (A1),,Biomass in liquid A1,2
biomass from reactor at RC8,biomass from reactor at RC8,,biomass from reactor at RC8,2
biomass from reactor at RC4,biomass from reactor at RC4,,biomass from reactor at RC4,2
biomass from reactor at RC2,biomass from reactor at RC2,,biomass from reactor at RC2,2
moisture adjustment,moisture adjustment,,moisture adjustment,2
biological soil crust flakes,biological soil crust flakes,,biological soil crust flakes,2
Biological sample of a male horse,Biological sample of a male horse,,Biological sample of a male horse,2
mollusca,mollusca,,mollusca,2
mollusk,mollusk,,mollusk,2
Monimolimnion,Monimolimnion,,Monimolimnion,2
Monitilora ramsayi,Monitilora ramsayi,,Monitilora ramsayi,2
monocultures and polycultures of native grassland plants,monocultures and polycultures of native grassland plants,,monocultures and polycultures of native grassland plants,2
monospore,monospore,,monospore,2
monsoon climate,monsoon climate,,monsoon climate,2
Monsoon forest zone in tropical monsoon forest area,Monsoon forest zone in tropical monsoon forest area,,Monsoon forest zone in tropical monsoon forest area,2
montane area,montane area,,montane area,2
montane biome [ENVO_01001836]|area of mixed forest [ENVO_01000855],montane biome [ENVO_01001836],ENVO:01001836,montane biome,2
montane biome [ENVO_01001836]|area of mixed forest [ENVO_01000855],area of mixed forest [ENVO_01000855],ENVO:01000855,area of mixed forest,2
Pilbara1,Pilbara1,,Pilbara1,2
Pilbara2,Pilbara2,,Pilbara2,2
Montane tropical forest,Montane tropical forest,,Montane tropical forest,2
